Year,Month,Day,Hour,DateTime,DBT,RelHum,WSp,Precipitation,Elev,utcivar1,utcivar2,utcivar3,count,Dockability,Releasability,specialdate
2017.0,1.0,1.0,0.0,1/1/2000 0:00,3.9,89.0,6.2,0.0,0.0,-8.483754,-12.490995999999996,-12.490995999999996,0.0,,,1
2017.0,1.0,1.0,1.0,1/1/2000 1:00,3.9,89.0,6.2,0.0,0.0,-8.483754,-12.490995999999996,-12.490995999999996,0.0,,,1
2017.0,1.0,1.0,2.0,1/1/2000 2:00,2.8,92.0,6.2,0.0,0.0,-10.088523,-14.110905999999998,-14.110905999999998,0.0,,,1
2017.0,1.0,1.0,3.0,1/1/2000 3:00,2.8,92.0,7.2,0.0,0.0,-12.381234,-16.323213,-16.323213,0.0,,,1
2017.0,1.0,1.0,4.0,1/1/2000 4:00,2.8,92.0,7.7,0.0,0.0,-13.423521,-17.330210999999995,-17.330210999999995,0.0,,,1
2017.0,1.0,1.0,5.0,1/1/2000 5:00,2.8,89.0,6.2,0.0,0.0,-10.122772,-14.170792,-14.170792,0.0,,,1
2017.0,1.0,1.0,6.0,1/1/2000 6:00,2.2,89.0,6.2,0.0,0.0,-11.017566,-15.082423000000004,-15.082423000000004,0.0,,,1
2017.0,1.0,1.0,7.0,1/1/2000 7:00,2.2,89.0,6.2,0.0,6.3616480000000015,-10.861377,-14.930135088888886,-14.930135088888886,0.0,,,1
2017.0,1.0,1.0,8.0,1/1/2000 8:00,4.4,70.0,6.7,0.0,14.151260999999998,-7.8222070000000015,-12.145883666666665,-12.145883666666665,0.0,,,1
2017.0,1.0,1.0,9.0,1/1/2000 9:00,5.6,58.0,8.8,0.0,20.157979,-8.801354,-13.019753355555556,-13.019753355555556,0.0,,,1
2017.0,1.0,1.0,10.0,1/1/2000 10:00,5.6,58.0,8.8,0.0,23.806464,-7.9994770000000015,-12.275464211111114,-12.275464211111114,0.0,,,1
2017.0,1.0,1.0,11.0,1/1/2000 11:00,5.6,49.0,10.3,0.0,24.674221,-10.367145,-14.795350322222225,-14.795350322222225,0.0,,,1
2017.0,1.0,1.0,12.0,1/1/2000 12:00,6.1,43.0,9.8,0.0,22.648783,-8.88413,-13.376393644444445,-13.376393644444445,0.0,,,1
2017.0,1.0,1.0,13.0,1/1/2000 13:00,6.1,43.0,9.8,0.0,17.985049,-9.487786,-13.837053844444444,-13.837053844444444,0.0,,,1
2017.0,1.0,1.0,14.0,1/1/2000 14:00,6.1,41.0,9.3,0.0,11.183241,-9.710756,-13.891141444444447,-13.891141444444447,0.0,,,1
2017.0,1.0,1.0,15.0,1/1/2000 15:00,5.6,40.0,5.1,0.0,2.894666,-3.122425,-7.644459066666664,-7.644459066666664,0.0,,,1
2017.0,1.0,1.0,16.0,1/1/2000 16:00,5.6,40.0,5.1,0.0,0.0,-3.826396,-8.500327877777778,-8.500327877777778,0.0,,,1
2017.0,1.0,1.0,17.0,1/1/2000 17:00,5.0,42.0,4.1,0.0,0.0,-1.89928,-6.835436999999999,-6.835436999999999,0.0,,,1
2017.0,1.0,1.0,18.0,1/1/2000 18:00,3.3,47.0,3.6,0.0,0.0,-2.479585,-7.368861,-7.368861,0.0,,,1
2017.0,1.0,1.0,19.0,1/1/2000 19:00,3.3,47.0,3.6,0.0,0.0,-2.479585,-7.368861,-7.368861,0.0,,,1
